text	label
알싸에 낚여서 샀습니다. 엄청 무겁고 끈적거리고 답답하고 저는 최악입니다	neg
환불했네요. 타사 제품에 비해 가격도 센데 힘은 없고 쓰기 불편하며. 만듦새도 개판	neg
같이온 마스크팩은 수분감 장난아니다	pos
깔끔하고 led 이뻐요 dpi 세부 조절 안되는 건 좀에 쉽	pos
1월에 구매했는데 하나 더 사요 매우 추천합니다 강추추푸마니파세요	pos
구매 전 제품문의차 몇 번 전화하고 예약 전화까지 남겨도 무응답.	neg
배송은 이틀 후 옵션의자만 오고 또 전화하고 예약전화 남겨도 무응답.	neg
게시판에 글 남겨도 문의사항은 되지도 않는 번호로 전화하라는 답변	neg
11번가에 전화하구 전화 좀 달라구 해도 11번가에선 따로배송되었다구 최소한 문자나 안내문 같은거 하나만 보내줘도 될텐데	neg
최악의 판매자!!!!	neg
저렴한 가격 빠른 배송 만족합니다~~	pos
많이 별로네요 디자인은 이쁜데.. 	neg
폭발사고도 있고해서 신일 믿고  산건데 인간적으로 바람이 너무 약하네요...	neg
안전생각해서 이렇게 만든건지... 1단은 왜 만들어 놓은거죠? 손부채질 바람이 더 쎌것같은데...	neg
그리고  거치대는 있는데 충전케이블은 또 왜없지?.....	neg
실링도 안붙어있던데 반품들어온거 다시보낸것같네요 판매자가 존나 별로에요	neg
걍 편의점에서 쎈거 하나 더 사야겠네요  	neg
다들 이거 쓰고 좋다고 해서 사봤는데... 1/3 쓰고 접촉성 피부염 왔습니다... 	neg
피부과 약 바르고 낫고 있어요. 저랑은 안 맞는 것 같네요...ㅠㅠ	neg
이 남은 거 몸에도 못쓰겠고 ㅠㅠ	neg
순하고 트러블케어에 조금은 도움이 되었어요.	pos
좋아요 쓸만하듯!	pos
수분이 부족한 피부라 가끔 얼굴이 간지러웠는데 이 제품쓰고나서 그런 점이 많이 개선되었어요 ㅎㅎ	pos
늘 구매하는 제품이에요~ 요즘같이 건조할 때는 필수 템이에요	pos
사용한지는 얼마되지않아 트러블 케어는 잘 모르겠지만 순해요	pos
안타깝게도 제 피부에는 맞지 않네요 ㅠㅠ	neg
제품은 괜찮아요. 오래 썼으면 좋겠습니다. 로지텍 하이엔드급 마우스는 워런티 5년이었는데 1년으로 줄은 것이 상당히 아쉽네요.	pos
좋은 것 같아요 허허허 호ᄒᆞ	pos
가벼운 느낌이 체감이 됩니다	pos
가격 만족도/품질/디자인/생각보다 가볍고 얇네요 SSD 장착이라 부팅 속도도 빠르고 처리 속도도 빠릅니다. 배송도 빠르게 잘 받았습니다. 그 외 도움이 될 만한 사용 후기 :	pos
가격 대비 정말 별로입니다. 발림도 별로 보습도 그다지 좋은 것 같지 않아요.	neg
목요일 밤에 주문해서 조마조마했는데 다행히 월요일까지 기다리지 않고 오늘 잘 받았어요~~!  빨라서 좋고 자판치는 느낌도 좋은거같아요ㅎㅎ 첫 노트북이라 너무너무 좋습니다ㅠㅠㅠㅠ 	pos
아무 향 추가안되고 깨끗함	pos
무소음 잘 되고 색깔도 이쁩니다.	pos
박스가 뜯어진채로와서 교환해달라고 했더니 제품에는 이상이 없다면 반품배송료를 7500원을 받고 결제를 취소해주는 그런곳이내요.	neg
사용한흔적이 있어도 제품에 이상만없다면  새제품으로 둔갑해서 판매중이신가봐요..	neg
본사에서는 새제품만을보낸다고 소비자를 거짓말쟁이로 만들어버리시니 기분이 안좋네여	neg
소비자의 불만이 이리많은데 네이버쇼핑은 관리를 안하시는겁니까	neg
무향인거 같고 순해서 좋네요	pos
소음도 없고 지금은.. 모델링 잘 돌리면서 게임도 즐겁게 잘 하고 있습니다 ~	pos
옵션 추가 안 하고 기본 옵션으로 윈도 10만 설치해서 구매했습니다. 첫날엔 인터넷 속도 괜찮더니 담날 하루 만에 인터넷 속도 컴퓨터 동작 속도 최악이네요.	neg
